anomaly_energy_region_gap_mean,anomaly_energy_region_gap_std,background_mean_mean,background_mean_std,class,defect_type,energy_gap_region_gap_mean,energy_gap_region_gap_std,mask_mean_mean,mask_mean_std,n,normal_energy_region_gap_mean,normal_energy_region_gap_std,pixel_auc_mean,pixel_auc_std,region_gap_mean,region_gap_std,score_energy_region_gap_mean,score_energy_region_gap_std,severity,variant
nan,nan,0.003656370477983728,0.0009107299927240485,capsule,noise_patch,nan,nan,0.005339537470717914,0.009011871995561792,16,nan,nan,0.5167844668346769,0.22561153444305285,0.0016831669927341864,0.008721277085799409,nan,nan,0.0,cosine
nan,nan,0.6869538575410843,0.0003483126367419398,capsule,noise_patch,nan,nan,0.6870900541543961,0.002246116350886968,16,0.00032059475779533386,0.00514061041025489,0.517175301745899,0.21602327451112524,0.00013619661331176758,0.00220118746341744,0.00032059475779533386,0.00514061041025489,0.0,cone_normal_only
-0.00018339604139328003,0.0038557198120456534,0.4780134651809931,0.00039855918496093366,capsule,noise_patch,0.0005039963871240616,0.008944822670964964,0.47813938185572624,0.002298607047156777,16,0.00032059475779533386,0.00514061041025489,0.5096304743616163,0.2330103415677337,0.00012591667473316193,0.002232739324921246,0.0005039963871240616,0.008944822670964964,0.0,cone_contrastive
nan,nan,0.004834967854549177,0.0010362829259496073,capsule,noise_patch,nan,nan,0.04824107454624027,0.04409818593330997,16,nan,nan,0.9448421499737403,0.03469982432265202,0.04340610669169109,0.04364826187458607,nan,nan,0.25,cosine
nan,nan,0.6874939389526844,0.0003096184061254211,capsule,noise_patch,nan,nan,0.6934390552341938,0.0021307028116478634,16,0.013918701559305191,0.0050957213940342645,0.9099992639148994,0.04940320825206073,0.005945116281509399,0.002160242948291131,0.013918701559305191,0.0050957213940342645,0.25,cone_normal_only
-0.014846980571746826,0.004516091831962814,0.4786188844591379,0.0003479446681587267,capsule,noise_patch,0.028765736147761345,0.009567398550371033,0.48580123111605644,0.0023355613922002747,16,0.013918701559305191,0.0050957213940342645,0.9380157635287112,0.0343852549906985,0.007182346656918526,0.00239023482632099,0.028765736147761345,0.009567398550371033,0.25,cone_contrastive
nan,nan,0.005699477274902165,0.001362474680153422,capsule,noise_patch,nan,nan,0.10414872551336884,0.06136803908659205,16,nan,nan,0.9894987064151052,0.006337597972012021,0.09844924823846668,0.060357557681931455,nan,nan,0.5,cosine
nan,nan,0.687525887042284,0.0003448247622343017,capsule,noise_patch,nan,nan,0.6966161578893661,0.0018549753594224935,16,0.021344590932130814,0.004581706210577689,0.9761934386206941,0.014357668846311412,0.009090270847082138,0.0019357665435831481,0.021344590932130814,0.004581706210577689,0.5,cone_normal_only
-0.02060529589653015,0.003895446527630522,0.47865532524883747,0.00039999640053115095,capsule,noise_patch,0.04194989171810448,0.008444711102903566,0.48913154006004333,0.001996296507253228,16,0.021344590932130814,0.004581706210577689,0.9831339172953314,0.009745207122676403,0.010476214811205864,0.0021100124586107176,0.04194989171810448,0.008444711102903566,0.5,cone_contrastive
nan,nan,0.006116562552051619,0.0012681837767891287,capsule,noise_patch,nan,nan,0.11913050012663007,0.04189622482642055,16,nan,nan,0.992281754494883,0.0035096827591461063,0.11301393757457845,0.041106118159655314,nan,nan,0.75,cosine
