anomaly_energy_background_mean,anomaly_energy_mask_mean,anomaly_energy_region_gap,background_mean,box_x0,box_x1,box_y0,box_y1,class,defect_type,energy_gap_background_mean,energy_gap_mask_mean,energy_gap_region_gap,image_path,mask_mean,normal_energy_background_mean,normal_energy_mask_mean,normal_energy_region_gap,pixel_auc,region_gap,score_energy_background_mean,score_energy_mask_mean,score_energy_region_gap,severity,trial,variant
nan,nan,nan,0.00378798833116889,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.006106232758611441,nan,nan,nan,0.8098148618758024,0.0023182444274425507,nan,nan,nan,0.0,0,cosine
nan,nan,nan,0.6870289444923401,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.6901611089706421,0.5931486487388611,0.6004462242126465,0.0072975754737854,0.8436642835069357,0.003132164478302002,0.5931486487388611,0.6004462242126465,0.0072975754737854,0.0,0,cone_normal_only
0.6803966164588928,0.6766824722290039,-0.003714144229888916,0.4782024323940277,267,427,373,533,capsule,noise_patch,-0.08724792301654816,-0.07623623311519623,0.011011689901351929,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.48095056414604187,0.5931486487388611,0.6004462242126465,0.0072975754737854,0.829246285962955,0.00274813175201416,-0.08724792301654816,-0.07623623311519623,0.011011689901351929,0.0,0,cone_contrastive
nan,nan,nan,0.0050869896076619625,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.05969129875302315,nan,nan,nan,0.9318822231539646,0.054604309145361185,nan,nan,nan,0.25,0,cosine
nan,nan,nan,0.6873589158058167,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.6940579414367676,0.5939177870750427,0.6096186637878418,0.015700876712799072,0.9346441023844956,0.006699025630950928,0.5939177870750427,0.6096186637878418,0.015700876712799072,0.25,0,cone_normal_only
0.6801653504371643,0.6663172841072083,-0.013848066329956055,0.4784521460533142,267,427,373,533,capsule,noise_patch,-0.086247518658638,-0.05669858679175377,0.02954893186688423,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.4858306646347046,0.5939177870750427,0.6096186637878418,0.015700876712799072,0.9299468223138837,0.007378518581390381,-0.086247518658638,-0.05669858679175377,0.02954893186688423,0.25,0,cone_contrastive
nan,nan,nan,0.005206807516515255,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.14815828204154968,nan,nan,nan,0.973433651261956,0.14295147452503443,nan,nan,nan,0.5,0,cosine
nan,nan,nan,0.6869520545005798,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.6967135667800903,0.5929731726646423,0.6159117221832275,0.022938549518585205,0.9674931990452212,0.009761512279510498,0.5929731726646423,0.6159117221832275,0.022938549518585205,0.5,0,cone_normal_only
0.6812632083892822,0.6600008010864258,-0.021262407302856445,0.4779426157474518,267,427,373,533,capsule,noise_patch,-0.08829014748334885,-0.04408910870552063,0.04420103877782822,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.48898133635520935,0.5929731726646423,0.6159117221832275,0.022938549518585205,0.9679557175784693,0.011038720607757568,-0.08829014748334885,-0.04408910870552063,0.04420103877782822,0.5,0,cone_contrastive
nan,nan,nan,0.004773617722094059,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.16037359833717346,nan,nan,nan,0.9957063019006775,0.1555999806150794,nan,nan,nan,0.75,0,cosine
nan,nan,nan,0.686892032623291,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.6989527344703674,0.5928343534469604,0.6211926937103271,0.0283583402633667,0.9941712394048616,0.012060701847076416,0.5928343534469604,0.6211926937103271,0.0283583402633667,0.75,0,cone_normal_only
0.6814640760421753,0.6559003591537476,-0.025563716888427734,0.47785788774490356,267,427,373,533,capsule,noise_patch,-0.0886298343539238,-0.03470771759748459,0.05392211675643921,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.4913248121738434,0.5928343534469604,0.6211926937103271,0.0283583402633667,0.9946284793122304,0.01346692442893982,-0.0886298343539238,-0.03470771759748459,0.05392211675643921,0.75,0,cone_contrastive
nan,nan,nan,0.004390648566186428,267,427,373,533,capsule,noise_patch,nan,nan,nan,/Users/bytedance/Downloads/mvtec_anomaly_detection/capsule/test/good/006.png,0.13489116728305817,nan,nan,nan,0.9960638860069007,0.13050051871687174,nan,nan,nan,1.0,0,cosine
